snr_db,target_fs_hz,bits,records,reference_beats,tp,fp,fn,pooled_sensitivity_pct,pooled_ppv_pct,pooled_f1_pct,macro_f1_mean_pct,macro_f1_median_pct,macro_f1_q05_pct,median_timing_error_ms,p95_timing_error_ms_median,clipping_rate_pct_mean,quantization_rmse_uv_mean,quantization_snr_db_median,raw_bitrate_bps,storage_mib_per_day,reference_f1_pct,f1_drop_from_reference_pp,bitrate_reduction_pct
6,100,9,2.00000000,1848.00000000,1716.00000000,1288.00000000,132.00000000,92.85714286,57.12383489,70.73371805,70.65786897,70.65786897,65.13757321,30.83333333,124.83333334,0.03577086,13.10918629,37.35016282,900.00000000,9.26971436,81.99815838,11.26444032,77.27272727
6,100,10,2.00000000,1848.00000000,1716.00000000,1297.00000000,132.00000000,92.85714286,56.95320279,70.60275663,70.52609035,70.52609035,65.02760904,30.83333333,124.55555555,0.03577086,11.92820233,38.32436218,1000.00000000,10.29968262,81.99815838,11.39540174,74.74747475
6,100,11,2.00000000,1848.00000000,1719.00000000,1287.00000000,129.00000000,93.01948052,57.18562874,70.82818294,70.77865278,70.77865278,65.08450979,31.11111111,124.48611111,0.03577086,11.57006697,38.64874763,1100.00000000,11.32965088,81.99815838,11.16997544,72.22222222
6,125,6,2.00000000,1848.00000000,1751.00000000,1123.00000000,97.00000000,94.75108225,60.92553932,74.16349005,74.11472798,74.11472798,69.18070356,5.27777778,117.36111111,0.04139200,47.31507879,25.84490150,750.00000000,7.72476196,81.99815838,7.83466833,81.06060606
6,125,7,2.00000000,1848.00000000,1749.00000000,1099.00000000,99.00000000,94.64285714,61.41151685,74.48892675,74.40893854,74.40893854,69.43743664,5.33333333,115.95277778,0.03628187,26.04354332,31.05744359,875.00000000,9.01222229,81.99815838,7.50923163,77.90404040
6,125,8,2.00000000,1848.00000000,1748.00000000,1115.00000000,100.00000000,94.58874459,61.05483758,74.20929739,74.14720976,74.14720976,68.98553643,5.38888889,113.37222222,0.03525985,16.64521786,35.07175154,1000.00000000,10.29968262,81.99815838,7.78886099,74.74747475
6,125,9,2.00000000,1848.00000000,1746.00000000,1137.00000000,102.00000000,94.48051948,60.56191467,73.81103361,73.74629881,73.74629881,68.73476675,5.33333333,114.77777778,0.03372682,13.02184461,37.44437706,1125.00000000,11.58714294,81.99815838,8.18712477,71.59090909
6,125,10,2.00000000,1848.00000000,1747.00000000,1133.00000000,101.00000000,94.53463203,60.65972222,73.90016920,73.82885233,73.82885233,68.77106004,5.27777778,112.86111111,0.03372682,11.80941548,38.47258050,1250.00000000,12.87460327,81.99815838,8.09798917,68.43434343
6,125,11,2.00000000,1848.00000000,1748.00000000,1128.00000000,100.00000000,94.58874459,60.77885953,74.00508044,73.93527309,73.93527309,68.98872456,5.33333333,112.86388889,0.03372682,11.44424009,38.81507242,1375.00000000,14.16206360,81.99815838,7.99307794,65.27777778
6,180,6,2.00000000,1848.00000000,1757.00000000,989.00000000,91.00000000,95.07575758,63.98397669,76.49107532,76.41435169,76.41435169,72.72572975,2.77777778,108.33333333,0.04151999,47.28161112,25.84943297,1080.00000000,11.12365723,81.99815838,5.50708306,72.72727273
6,180,7,2.00000000,1848.00000000,1760.00000000,1001.00000000,88.00000000,95.23809524,63.74501992,76.37231504,76.30063324,76.30063324,72.80247711,2.77777778,109.86111111,0.03726152,26.05726097,31.05067440,1260.00000000,12.97760010,81.99815838,5.62584334,68.18181818
6,180,8,2.00000000,1848.00000000,1763.00000000,999.00000000,85.00000000,95.40043290,63.83055757,76.48590022,76.41456430,76.41456430,72.97302141,2.77777778,109.65277778,0.03513230,16.65814764,35.05895943,1440.00000000,14.83154297,81.99815838,5.51225816,63.63636364
6,180,9,2.00000000,1848.00000000,1759.00000000,996.00000000,89.00000000,95.18398268,63.84754991,76.42841625,76.35918511,76.35918511,72.72875670,2.77777778,109.72222222,0.03406768,13.02763609,37.42910484,1620.00000000,16.68548584,81.99815838,5.56974213,59.09090909
6,180,10,2.00000000,1848.00000000,1762.00000000,992.00000000,86.00000000,95.34632035,63.97966594,76.57540200,76.50466147,76.50466147,73.09776464,2.77777778,108.33333333,0.03371281,11.82867429,38.43742930,1800.00000000,18.53942871,81.99815838,5.42275638,54.54545455
6,180,11,2.00000000,1848.00000000,1759.00000000,999.00000000,89.00000000,95.18398268,63.77810007,76.37863656,76.30773908,76.30773908,72.72361210,2.77777778,108.33333333,0.03335794,11.46500657,38.77571195,1980.00000000,20.39337158,81.99815838,5.61952182,50.00000000
6,250,6,2.00000000,1848.00000000,1770.00000000,885.00000000,78.00000000,95.77922078,66.66666667,78.61425716,78.54415972,78.54415972,76.95709868,2.00000000,91.99166666,0.04241424,47.31448043,25.84340761,1500.00000000,15.44952393,81.99815838,3.38390122,62.12121212
6,250,7,2.00000000,1848.00000000,1767.00000000,899.00000000,81.00000000,95.61688312,66.27906977,78.28976518,78.21014885,78.21014885,76.13675605,1.94444445,101.31111111,0.03679308,26.05467080,31.05095723,1750.00000000,18.02444458,81.99815838,3.70839320,55.80808081
6,250,8,2.00000000,1848.00000000,1765.00000000,890.00000000,83.00000000,95.50865801,66.47834275,78.39218299,78.31221315,78.31221315,76.22128571,1.94444445,94.99166667,0.03577105,16.64824661,35.06452949,2000.00000000,20.59936523,81.99815838,3.60597539,49.49494949
6,250,9,2.00000000,1848.00000000,1768.00000000,883.00000000,80.00000000,95.67099567,66.69181441,78.59524339,78.52114767,78.52114767,76.68052805,1.94444445,95.34444444,0.03423800,13.02044104,37.43367566,2250.00000000,23.17428589,81.99815838,3.40291499,43.18181818
6,250,10,2.00000000,1848.00000000,1766.00000000,892.00000000,82.00000000,95.56277056,66.44093303,78.38437639,78.30946110,78.30946110,76.38660388,1.94444445,97.20277778,0.03398250,11.81532850,38.44972800,2500.00000000,25.74920654,81.99815838,3.61378199,36.86868687
